S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,"11,800",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",Orissa State Police Housing and Welfare Corporation Ltd,01/OPHWC/2025-26,2025_OSPHW_112149_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,"Cluster of Constn. of 36 nos. F type staff quarters and 1 nos. D type staff quarters at 4th IRBN, Deogarh",Building Work,Please refer Tender documents  ,NA ,"9,73,02,449",Civil Works - Buildings,NA ,Tender,90.0,365.0,Deogarh,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,05-Apr-2025 06:55 PM,21-Apr-2025 10:30 AM,05-Apr-2025 06:55 PM,19-Apr-2025 05:00 PM,NA ,NA ,05-Apr-2025 06:55 PM,19-Apr-2025 05:00 PM,26-May-2025 10:30 AM,"9,73,000",Yes,fixed,,Nil,Nil,AOC,Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_112149_1,01/OPHWC/2025-26,"Cluster of Constn. of 36 nos. F type staff quarters and 1 nos. D type staff quarters at 4th IRBN, Deogarh",Technical,THIRTEEN BIDDER HAVE PARTICIPATED,BIBHUTI BHUSHAN NAIK,21-Apr-2025 12:03 PM,,AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,21-Jun-2025 01:54 PM,finsummary_535215.pdf (410.56 KB),1.0,2885921.0,SAI SMRUTI INFRASTRUCTURE PVT. LTD.,INR,"87,581,934.06",21-Jun-2025,"INR 87,581,934.06",365.0,Bikram Keshari Malla,21-Jun-2025 01:56 PM,WORKORDERR.pdf (714.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 12.06.2025,1,2885206,ANAND ENGINEERING,19-Apr-2025 01:59 PM,Rejected-Technical,Non-securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m).,23-May-2025 04:14 PM,AS PER TC MINUTES,Internal,AS PER TC MINUTES,BIBHUTI BHUSHAN NAIK,23-May-2025 04:14 PM,26-May-2025 10:30 AM,techsummary_535215.pdf (341.46 KB),Finance,FINANCIAL BID OPENED,Bikram Keshari Malla,27-May-2025 12:16 PM,,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2882987,ARYA PRAKASH CHAMPATIRAY,12-Apr-2025 05:00 PM,Rejected-Technical,Non-securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m).,23-May-2025 04:14 PM,,,,,,,,,,,,,,AOC
,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2888918,D. K. Engineering and Construction,19-Apr-2025 04:52 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,23-May-2025 04:14 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2888743,M/s Z.A CONSTRUCTION,19-Apr-2025 04:53 PM,Rejected-Technical,Non-securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m).,23-May-2025 04:14 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2888459,MUKESH KUMAR,19-Apr-2025 03:37 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,23-May-2025 04:14 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2887129,PRASANTA KUMAR SAMANTRAY,19-Apr-2025 08:00 AM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,23-May-2025 04:14 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2885921,SAI SMRUTI INFRASTRUCTURE PVT. LTD.,17-Apr-2025 07:10 PM,Accepted-AOC,QUALIFIED BIDDER,21-Jun-2025 01:56 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2888937,SANDIP KUMAR PADHI,19-Apr-2025 04:46 PM,Rejected-Technical,Non submission of adequate similar nature of work as per DTCN Cl. No. 11 and 110(j),23-May-2025 04:14 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2888669,SHREE SHYAMJEE CONSTRUCTIONS PVT LTD,19-Apr-2025 12:36 PM,Rejected-Finance,DUE TO L1 BIDDER BUT LOWEST TURNOVER,21-Jun-2025 01:54 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2888047,SNBS PROJECTS PRIVATE LIMITED,19-Apr-2025 03:48 PM,Rejected-Finance,DUE TO L1 BIDDER BUT LOWEST TURNOVER,21-Jun-2025 01:54 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2888905,SUBODH SAHOO,19-Apr-2025 04:32 PM,Rejected-Technical,Non submission of adequate similar nature of work as per DTCN Cl. No. 11 and 110(j),23-May-2025 04:14 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2888969,SUMANTA KUMAR SAHOO,19-Apr-2025 04:45 PM,Rejected-Technical,Non submission of adequate similar nature of work as per DTCN Cl. No. 11 and 110(j),23-May-2025 04:14 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2887518,SUSHREESARADA CONSTRUCTION PRIVATE LIMITED,17-Apr-2025 05:14 PM,Rejected-Finance,DUE TO L1 BIDDER BUT LOWEST TURNOVER,21-Jun-2025 01:54 PM,,,,,,,,,,,,,,AOC
