Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
"Superintending Engineer, Jaraka Irrigation Division, Jaraka",Internal,"S.E., Jaraka Irrigation Division, Jaraka, DAO, Jaraka Irrigation Division, Jaraka AEE(Estimator), Jaraka Irrigation Division, Jaraka",Sisira Kumar Das,20-May-2026 10:19 AM,techsummary_574430.pdf (167.35 KB),1,3354189,AMARESH PANDA,14-Jan-2026 06:53 PM,Rejected-Technical,Non Responsive,20-May-2026 10:19 AM,22-May-2026,"INR 2,919,575.94",90.0,Sisira Kumar Das,26-May-2026 04:32 PM,23.pdf (383.00 KB),The work has been awarded to Sri Amit Kumar Sahoo,Finance,Downloaded all the bidders,Sisira Kumar Das,17-Jan-2026 12:00 PM,,BOQ Comparative Chart,1.0,3354293.0,AMIT KUMAR SAHOO,INR,"2,919,575.94",CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jaraka Irr Div Jaraka,2026_JIRR_124173_24,JKID-04 OF 2025-26,23-Protection to scoured bank on Tantighai right near village Sango Sanrangi Sahi,"Superintending Engineer, Jaraka Irrigation Division, Jaraka",Internal,"S.E., Jaraka Irrigation Division, Jaraka, DAO, Jaraka Irrigation Division, Jaraka AEE(Estimator), Jaraka Irrigation Division, Jaraka",Sisira Kumar Das,20-May-2026 11:58 AM,finsummary_574430.pdf (167.35 KB),AOC,23-Protection to scoured bank on Tantighai right near village Sango Sanrangi Sahi,Protection to scoured bank on Tantighai right near village Sango Sanrangi Sahi,Please refer Tender documents. ,NA ,"40,97,650",Civil Works - Others,NA ,Tender,90.0,90.0,Jaraka,755050.0,NA ,NA ,NA ,"Superintending Engineer,Jaraka Irrigation Division",No ,No,1.0,1st Corrigendum,Other,,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jaraka Irr Div Jaraka,JKID-04 OF 2025-26,2026_JIRR_124173_24,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"41,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,05-Jan-2026 11:00 AM,16-Jan-2026 11:00 AM,05-Jan-2026 11:00 AM,15-Jan-2026 05:00 PM,05-Jan-2026 11:00 AM ,12-Jan-2026 05:00 PM ,05-Jan-2026 11:00 AM,15-Jan-2026 05:00 PM,"6,000",Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"GSTIN,PAN,RC,No Relation Certificate, Affidavit regarding authenticity","SE, Jaraka Irrigation Division, Jaraka","S.E., Jaraka Irrigation Division, Jaraka",AOC
,,,,,,2,3354293,AMIT KUMAR SAHOO,14-Jan-2026 07:53 PM,Accepted-AOC,The work has been awarded to Sri Niranjan Nayak,26-May-2026 04:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,AOC
,,,,,,3,3355171,ARUNA JENA,15-Jan-2026 12:13 PM,Rejected-Technical,Non Responsive,20-May-2026 10:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,3355527,BIBRAT KUMAR NATH,15-Jan-2026 01:41 PM,Rejected-Technical,Non Responsive,20-May-2026 10:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5,3355416,BIRENDRA KUMAR NAYAK,15-Jan-2026 01:17 PM,Rejected-Technical,Non Responsive,20-May-2026 10:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6,3355229,BISWAJIT BISWAS,15-Jan-2026 01:40 PM,Rejected-Technical,Non Responsive,20-May-2026 10:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,7,3354473,DILLIP KUMAR ROUT,14-Jan-2026 09:07 PM,Rejected-Technical,Non Responsive,20-May-2026 10:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,8,3354376,GANESWAR BEHERA,15-Jan-2026 12:31 PM,Rejected-Technical,Non Responsive,20-May-2026 10:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,9,3355350,HARI PRASANNA KAR,15-Jan-2026 12:52 PM,Rejected-Technical,Non Responsive,20-May-2026 10:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,10,3355595,KAMALJIT MOHANTY,15-Jan-2026 04:08 PM,Rejected-Technical,Non Responsive,20-May-2026 10:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,11,3354084,KISHORE KUMAR BEHERA,14-Jan-2026 06:07 PM,Rejected-Technical,Non Responsive,20-May-2026 10:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,12,3353393,MAA KALI ENTERPRISES,13-Jan-2026 09:08 PM,Rejected-Technical,Non Responsive,20-May-2026 10:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,13,3355490,M/S RANJAN KUMAR BEHERA,15-Jan-2026 01:39 PM,Rejected-Technical,Non Responsive,20-May-2026 10:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,14,3355253,NAMITA JENA,15-Jan-2026 12:41 PM,Rejected-Technical,Non Responsive,20-May-2026 10:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,15,3352659,PRASANJIT BISWAL,13-Jan-2026 12:52 PM,Rejected-Technical,Non Responsive,20-May-2026 10:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,16,3354121,RANJIT KUMAR SWAIN,14-Jan-2026 06:33 PM,Rejected-Technical,Non Responsive,20-May-2026 10:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,17,3356124,RUPALI ROY,15-Jan-2026 04:20 PM,Rejected-Technical,Non Responsive,20-May-2026 10:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,18,3355437,SANJAY KUMAR MALIK,15-Jan-2026 01:23 PM,Rejected-Technical,Non Responsive,20-May-2026 10:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,19,3354930,SUBHASISH MISHRA,15-Jan-2026 11:02 AM,Rejected-Technical,Non Responsive,20-May-2026 10:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
